"dp_id","dp_name","dp_cust_id","dp_desc","dp_img1","dp_img2","dp_img3","dp_video","dp_qty","dp_cat_id","dp_cat_sub_id","dp_status","dp_datetime","dp_brand","dp_featured","dp_featured_date","dp_featured_outofstock","dp_featured_time","dp_pack_type","dp_pack_qnty"
"134","f110","20190826022525",,"20200924011203_5f6c4dcb51bee.jpg",,,,"1","6","5","1","2019-08-26 02:26 pm",,"0",,"0","20201004124346","Box","50"
"135","f111","20190826022609",,"20200924011203_5f6c4dcb521a7.jpg",,,,"2","6","5","1","2019-08-26 02:27 pm",,"0",,"0","20201004124346","Box","50"
"136","f41","20190826022715",,"20200924010634_5f6c4c828bc41.jpg",,,,"40","6","5","1","2019-08-26 02:30 pm",,"1","05-02-2021","0","20210205191025","Box","1"
"137","f42","20190826023137",,"20220225012518_62188b66cc753.jpg",,,,"2","0","5","1","2019-08-26 02:31 pm","0","0",,"0","20201004124346","box","50"
"138","f113","20190826023155",,"20200924011203_5f6c4dcb532f1.jpg",,,,"2","6","5","1","2019-08-26 02:45 pm",,"0",,"0","20201004124346","Box","50"
"139","f114","20190826024518",,"20200924011203_5f6c4dcb53fc8.jpg",,,,"2","6","5","1","2019-08-26 03:02 pm",,"0",,"0","20201004124346","Box","50"
"140","f115","20190826030202",,"20200924011203_5f6c4dcb54af5.jpg",,,,"1","6","5","1","2019-08-26 03:06 pm",,"0",,"0","20201004124346","Box","50"
"141","f116","20190826030633",,"20200924011203_5f6c4dcb55125.jpg",,,,"2","6","5","1","2019-08-26 03:07 pm",,"0",,"0","20201004124346","Box","50"
"142","f117","20190826030728",,"20200924011203_5f6c4dcb55d59.jpg",,,,"2","6","5","1","2019-08-26 03:08 pm",,"0",,"0","20201004124346","Box","50"
"143","f118","20190826030801",,"20200924011203_5f6c4dcb5631a.jpg",,,,"-48","6","5","1","2019-08-26 03:08 pm",,"0",,"0","20201004124346","Box","50"
"144","f119","20190826030855",,"20200924011203_5f6c4dcb56e94.jpg",,,,"-48","6","5","1","2019-08-26 03:09 pm",,"0",,"0","20201004124346","Box","50"
"145","f314","20190826031811",,"20200924013122_5f6c52523c9f2.jpg",,,,"2","6","5","1","2019-08-26 03:22 pm","0","0",,"0","20201004124347","Box","50"
"146","f120","20190826032228",,"20200924011203_5f6c4dcb579df.jpg",,,,"-48","6","5","1","2019-08-26 03:23 pm",,"0",,"0","20201004124346","Box","50"
"147","f121","20190826032415",,"20200924011203_5f6c4dcb57f3b.jpg",,,,"-48","6","5","1","2019-08-26 03:24 pm",,"0",,"0","20201004124346","Box","50"
"148","f309","20190826032437",,"20200924013122_5f6c525238d02.jpg",,,,"2","6","5","1","2019-08-26 03:26 pm","0","0",,"0","20201004124347","Box","50"
"149","f122","20190826032608",,"20200924011203_5f6c4dcb589d2.jpg",,,,"2","6","5","1","2019-08-26 03:26 pm",,"0",,"0","20201004124346","Box","50"
"150","f123","20190826032653",,"20200924011203_5f6c4dcb5f7af.jpg","20190826032756_5d63ad24774fc.jpg",,,"1","6","5","1","2019-08-26 03:27 pm",,"0",,"0","20201004124346","Box","50"
"151","f124","20190826032756",,"20200924011203_5f6c4dcb603d9.jpg",,,,"-48","6","5","1","2019-08-26 03:28 pm",,"0",,"0","20201004124346","Box","50"
"152","f125","20190826032858",,"20200924011203_5f6c4dcb60ed5.jpg",,,,"2","6","5","1","2019-08-26 03:30 pm",,"0",,"0","20201004124346","Box","50"
"153","f126","20190826033007",,"20200924011203_5f6c4dcb61a10.jpg",,,,"2","6","5","1","2019-08-26 03:30 pm",,"0",,"0","20201004124346","Box","50"
"154","f127","20190826033157",,"20200924011203_5f6c4dcb62720.jpg",,,,"2","6","5","1","2019-08-26 03:33 pm",,"0",,"0","20201004124346","Box","50"
"155","f308","20190826033340",,"20200924013122_5f6c525238775.jpg",,,,"2","6","5","1","2019-08-26 03:34 pm","0","0",,"0","20201004124347","Box","50"
"156","f128","20190826033449",,"20200924011203_5f6c4dcb62c7c.jpg",,,,"-48","6","5","1","2019-08-26 03:35 pm",,"0",,"0","20201004124346","Box","50"
"157","f129","20190826033527",,"20200924011203_5f6c4dcb6376a.jpg",,,,"2","6","5","1","2019-08-26 03:37 pm",,"0",,"0","20201004124346","Box","50"
"158","f130","20190826033729",,"20200924011203_5f6c4dcb63cde.jpg",,,,"2","6","5","1","2019-08-26 03:38 pm",,"0",,"0","20201004124346","Box","50"
"159","f131","20190826033814",,"20200924011203_5f6c4dcb64893.jpg",,,,"2","6","5","1","2019-08-26 03:38 pm",,"0",,"0","20201004124346","Box","50"
"160","f132","20190826033852",,"20200924011203_5f6c4dcb653fb.jpg",,,,"99","6","5","1","2019-08-26 03:39 pm",,"0",,"0","20201004124346","Box","50"
"161","f315","20190826033937",,"20200924013122_5f6c52523d52c.jpg",,,,"2","6","5","1","2019-08-26 03:40 pm","0","0",,"0","20201004124347","Box","50"
"162","f318","20190826034014",,"20200924013122_5f6c52523eb64.jpg",,,,"2","6","5","1","2019-08-26 03:40 pm","0","0",,"0","20201004124347","Box","50"
"163","f133","20190826034130",,"20200924011203_5f6c4dcb65943.jpg",,,,"2","6","5","1","2019-08-26 03:41 pm",,"0",,"0","20201004124346","Box","50"
"164","f134","20190826034220",,"20230801011451_64c8b7f35646a.JPG",,,,"596","0","5","1","2019-08-26 03:42 pm","0","0",,"0","20201004124346","box","50"
"165","f135","20190826034244",,"20200924011203_5f6c4dcb66ad5.jpg",,,,"2","6","5","1","2019-08-26 03:43 pm",,"0",,"0","20201004124346","Box","50"
"166","f136","20190826034318",,"20200924011203_5f6c4dcb67506.jpg",,,,"2","6","5","1","2019-08-26 03:44 pm",,"0",,"0","20201004124346","Box","50"
